City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bluff,-46.6,168.33,50.5,78,57,18.72,NZ,1594358844
Santa Isabel Rio Negro,-0.41,-65.02,72.41,96,47,1.21,BR,1594358769
Arraial do Cabo,-22.97,-42.03,69.75,71,21,12.84,BR,1594358844
Rikitea,-23.12,-134.97,66.94,71,20,20.74,PF,1594358396
Maumere,-8.62,122.21,82.78,62,57,2.42,ID,1594358845
Fortuna,40.6,-124.16,57.0,100,90,4.7,US,1594358846
Beloha,-25.17,45.05,64.11,56,0,9.57,MG,1594358846
Iskateley,67.68,53.15,81.84,60,0,14.88,RU,1594358846
Mahon,39.89,4.27,71.6,88,80,8.05,ES,1594358847
Chokurdakh,70.63,147.92,67.39,47,100,10.16,RU,1594358847
Batemans Bay,-35.72,150.18,66.99,48,73,4.43,AU,1594358848
Honiara,-9.43,159.95,86.0,74,75,9.17,SB,1594358848
Ténenkou,14.46,-4.92,83.88,58,55,14.07,ML,1594358848
Ahipara,-35.17,173.17,54.7,71,5,6.2,NZ,1594358849
Chui,-33.7,-53.46,42.89,90,0,7.94,UY,1594358849
Samarai,-10.62,150.67,78.64,87,83,19.48,PG,1594358584
Rawson,-43.3,-65.1,38.61,76,60,14.52,AR,1594358850
Khatanga,71.97,102.5,63.3,46,0,19.37,RU,1594358850
Paamiut,61.99,-49.67,42.93,97,100,24.7,GL,1594358851
Vestmannaeyjar,63.44,-20.27,50.74,80,75,19.6,IS,1594358782
New Norfolk,-42.78,147.06,46.99,86,100,0.31,AU,1594358852
Vila Velha,-20.33,-40.29,71.6,78,44,8.05,BR,1594358853
Punta Arenas,-53.15,-70.92,33.8,86,99,9.17,CL,1594358404
Buchanan,5.88,-10.05,76.32,84,100,10.25,LR,1594358675
Bonavista,48.65,-53.11,50.0,80,100,1.99,CA,1594358670
Eufaula,31.89,-85.15,78.01,94,2,3.65,US,1594358739
Tromsø,69.65,18.96,48.2,87,20,14.99,NO,1594358758
Upernavik,72.79,-56.15,40.8,82,100,4.61,GL,1594358441
Ilulissat,69.22,-51.1,42.8,87,100,20.8,GL,1594358856
Hobart,-42.88,147.33,48.2,81,100,8.05,AU,1594358409
Hong Kong,22.29,114.16,89.01,69,92,14.9,HK,1594358607
Yumen,40.28,97.2,83.28,15,32,6.91,CN,1594358857
Atuona,-9.8,-139.03,79.18,80,41,19.22,PF,1594358785
Dhandhuka,22.37,71.98,91.06,60,74,17.38,IN,1594358858
Águas Belas,-9.11,-37.12,66.09,97,62,2.62,BR,1594358610
Hualmay,-11.1,-77.61,59.99,83,83,10.25,PE,1594358859
Mataura,-46.19,168.86,45.05,91,92,5.28,NZ,1594358425
Chapais,49.78,-74.85,68.0,77,75,3.36,CA,1594358770
Barrow,71.29,-156.79,35.6,80,90,10.29,US,1594358229
Poronaysk,49.22,143.12,60.22,85,78,7.7,RU,1594358860
Kjøllefjord,70.95,27.35,44.6,93,75,10.29,NO,1594358861
Thompson,55.74,-97.86,60.8,87,90,5.82,CA,1594358672
Champerico,14.3,-91.92,81.57,77,15,3.06,GT,1594358862
Ushuaia,-54.8,-68.3,33.8,69,40,9.17,AR,1594358447
Torbay,47.67,-52.73,52.0,93,90,6.93,CA,1594358781
Dikson,73.51,80.55,45.03,79,0,13.27,RU,1594358454
New Boston,42.98,-71.69,75.0,41,0,3.09,US,1594358703
Danielskuil,-28.19,23.54,48.78,59,8,20.45,ZA,1594358864
Pangnirtung,66.15,-65.71,46.2,59,5,0.11,CA,1594358764
Naze,28.37,129.48,87.8,84,75,16.11,JP,1594358678
Maningrida,-12.07,134.27,84.61,55,32,7.96,AU,1594358865
Jamestown,42.1,-79.24,71.01,88,90,9.17,US,1594358617
Sinnamary,5.38,-52.95,78.12,85,92,6.49,GF,1594358866
Bilibino,68.05,166.44,68.36,51,65,8.77,RU,1594358862
Plettenberg Bay,-34.05,23.37,55.02,87,94,7.09,ZA,1594358867
Kaitangata,-46.28,169.85,48.99,70,51,3.0,NZ,1594358867
Carballo,43.21,-8.69,61.0,93,75,6.93,ES,1594358397
São Desidério,-12.36,-44.97,67.87,62,33,4.9,BR,1594358868
Laurel,39.1,-76.85,78.01,94,40,4.65,US,1594358588
Tuktoyaktuk,69.45,-133.04,39.2,100,90,11.41,CA,1594358450
Saint-Philippe,-21.36,55.77,71.6,64,92,31.09,RE,1594358755
Duarte,34.14,-117.98,73.0,63,0,0.6,US,1594358870
Alegrete,-29.78,-55.79,43.45,89,0,5.32,BR,1594358870
Taoudenni,22.68,-3.98,87.04,35,8,9.66,ML,1594358871
Olafsvik,64.89,-23.71,50.7,76,70,8.9,IS,1594358773
Kapaa,22.08,-159.32,80.6,74,40,16.11,US,1594358429
San Patricio,19.22,-104.7,79.14,80,95,2.04,MX,1594358872
Bredasdorp,-34.53,20.04,50.0,93,100,8.05,ZA,1594358455
Albany,42.6,-73.97,78.01,95,1,4.63,US,1594358437
Karpogory,64.0,44.45,62.91,66,42,5.01,RU,1594358873
Boguchany,58.38,97.45,70.05,42,86,7.76,RU,1594358874
Lata,40.16,-8.33,62.01,90,4,1.43,PT,1594358874
Cape Town,-33.93,18.42,51.01,93,75,12.75,ZA,1594358454
Goderich,43.75,-81.72,73.99,90,16,1.01,CA,1594358875
Mar del Plata,-38.0,-57.56,48.99,66,99,16.11,AR,1594358270
Cherskiy,68.75,161.3,64.87,60,61,5.41,RU,1594358876
Te Anau,-45.42,167.72,42.19,86,45,1.03,NZ,1594358876
Hermanus,-34.42,19.23,51.01,83,100,7.0,ZA,1594358431
Broome,42.25,-75.83,73.99,83,1,3.36,US,1594358859
Sabirabad,40.01,48.48,84.2,58,40,4.7,AZ,1594358877
Bhachāu,23.28,70.35,89.56,67,94,21.85,IN,1594358878
Gamba,-2.65,10.0,72.79,87,100,6.85,GA,1594358878
Port Lincoln,-34.73,135.87,57.22,58,42,14.65,AU,1594358750
Tiksi,71.69,128.87,38.91,85,95,9.75,RU,1594358728
Lanzhou,36.06,103.79,73.4,53,20,8.95,CN,1594358879
Kemijärvi,66.71,27.43,51.87,91,100,5.77,FI,1594358880
Bethel,41.37,-73.41,71.01,100,1,2.53,US,1594358731
Dingle,11.0,122.67,89.51,62,90,4.32,PH,1594358881
Katsuura,35.13,140.3,84.0,84,75,3.0,JP,1594358780
Kutum,14.2,24.67,75.34,63,81,7.63,SD,1594358881
Hithadhoo,-0.6,73.08,84.18,74,55,8.19,MV,1594358442
Areia Branca,-4.96,-37.14,74.66,85,95,12.39,BR,1594358882
Busselton,-33.65,115.33,57.0,46,31,7.54,AU,1594358412
Port Hardy,50.7,-127.42,57.2,76,75,5.82,CA,1594358883
Severo-Kuril'sk,50.68,156.12,49.73,93,100,11.05,RU,1594358772
Bengkulu,-3.8,102.27,85.69,64,98,7.9,ID,1594358665
Mastic Beach,40.77,-72.85,75.2,88,90,3.36,US,1594358884
Esim,4.87,-2.24,74.84,90,100,7.47,GH,1594358885
Bubaque,11.28,-15.83,81.32,82,33,13.6,GW,1594358885
Lebu,-37.62,-73.65,54.18,95,100,22.66,CL,1594358885
Saint-Augustin,51.23,-58.65,57.13,95,100,8.39,CA,1594358886
Alvorada,-12.48,-49.12,66.24,46,0,1.99,BR,1594358887
Van Buren,35.44,-94.35,73.4,94,1,2.98,US,1594358887
Riyadh,24.69,46.72,96.8,14,7,6.93,SA,1594358609
Bethanien,-26.5,17.16,43.09,67,1,5.86,NA,1594358888
Kumëny,58.11,49.92,74.28,82,96,10.09,RU,1594358888
Kahului,20.89,-156.47,82.4,54,20,16.11,US,1594358784
Bambous Virieux,-20.34,57.76,71.6,68,75,18.34,MU,1594358774
Hilo,19.73,-155.09,78.8,74,90,3.36,US,1594358673
Leer,8.3,30.14,73.22,90,71,1.68,SS,1594358890
Vryheid,-27.77,30.79,52.03,60,0,7.07,ZA,1594358891
Isangel,-19.55,169.27,75.2,69,75,8.05,VU,1594358892
Mazagão,-0.12,-51.29,78.8,100,75,4.7,BR,1594358892
Carutapera,-1.2,-46.02,75.61,92,98,5.91,BR,1594358892
Gornopravdinsk,60.05,69.9,68.92,44,23,8.99,RU,1594358893
Havre-St-Pierre,50.23,-63.6,59.0,100,90,2.24,CA,1594358893
Beïnamar,8.67,15.38,71.78,85,95,2.82,TD,1594358763
Verkhnetulomskiy,68.61,31.8,48.2,93,90,4.47,RU,1594358894
Berlevåg,70.86,29.09,44.6,100,75,18.34,NO,1594358894
Auki,-8.77,160.7,83.68,72,94,6.4,SB,1594358895
Saint Paul Harbor,57.79,-152.41,64.4,52,90,6.93,US,1594358440
Yellowknife,62.46,-114.35,66.2,48,75,4.7,CA,1594358687
Amga,60.9,131.96,56.43,94,100,9.28,RU,1594358896
Atambua,-9.11,124.89,82.85,53,66,3.67,ID,1594358896
Anadyr,64.75,177.48,62.6,72,98,6.71,RU,1594358897
Ardakān,32.31,54.02,89.6,15,20,4.7,IR,1594358897
San Quintín,30.48,-115.95,65.93,84,21,6.87,MX,1594358897
Nuuk,64.18,-51.72,37.4,100,100,4.7,GL,1594358898
Qaanaaq,77.48,-69.36,45.75,57,0,5.28,GL,1594358431
Faanui,-16.48,-151.75,77.41,79,99,24.83,PF,1594358899
Dicamay,16.76,122.0,91.45,58,90,5.32,PH,1594358899
Carnarvon,-24.87,113.63,75.2,25,73,16.11,AU,1594358446
Tura,25.52,90.22,81.16,90,100,7.16,IN,1594358900
Ryde,50.73,-1.16,57.99,87,69,4.0,GB,1594358901
Talnakh,69.49,88.4,62.6,67,0,26.84,RU,1594358671
East London,-33.02,27.91,59.0,82,75,9.17,ZA,1594358901
Jiayuguan City,39.82,98.3,81.86,16,25,6.24,CN,1594358902
Port Elizabeth,-33.92,25.57,50.0,93,76,4.7,ZA,1594358741
Norman Wells,65.28,-126.83,59.0,77,75,4.7,CA,1594358775
Sitka,57.05,-135.33,55.4,93,90,8.05,US,1594358790
Imbituba,-28.24,-48.67,46.4,100,0,1.12,BR,1594358903
Vaini,-21.2,-175.2,73.4,88,75,9.17,TO,1594358395
Leningradskiy,69.38,178.42,44.1,86,100,8.86,RU,1594358452
Port Alfred,-33.59,26.89,59.0,88,95,1.01,ZA,1594358453
Karakol,42.49,78.39,71.15,35,45,7.7,KG,1594358905
Seoul,37.57,126.98,78.8,73,90,5.82,KR,1594358906
Souillac,-20.52,57.52,71.6,68,75,18.34,MU,1594358906
Coyhaique,-45.58,-72.07,28.4,92,20,2.24,CL,1594358906
Waingapu,-9.66,120.26,83.64,57,33,16.8,ID,1594358898
Ancud,-41.87,-73.82,39.99,93,99,4.7,CL,1594358907
Copiapó,-27.37,-70.33,53.6,87,0,5.82,CL,1594358908
Onega,63.91,38.14,58.89,68,14,8.93,RU,1594358908
Trat,12.5,102.5,86.0,79,40,4.7,TH,1594358908
Beitbridge,-22.22,30.0,54.64,83,0,2.04,ZW,1594358909
Launceston,-41.45,147.17,53.01,81,75,4.7,AU,1594358909
Purpe,64.48,76.69,73.0,59,0,10.0,RU,1594358910
Ust-Tsilma,65.44,52.15,81.63,50,22,8.46,RU,1594358910
Mossamedes,-15.2,12.15,61.11,79,0,11.99,AO,1594358794
Port Hedland,-20.32,118.57,87.8,10,0,18.34,AU,1594358911
Kavieng,-2.57,150.8,84.31,74,32,12.37,PG,1594358912
Bad Frankenhausen,51.35,11.1,66.0,87,100,2.21,DE,1594358912
Vila Franca do Campo,37.72,-25.43,64.4,82,20,9.17,PT,1594358725
Sangar,63.92,127.47,76.55,35,69,10.42,RU,1594358913
Clyde River,70.47,-68.59,41.0,86,1,2.24,CA,1594358679
Smithers,54.78,-127.17,59.0,54,75,3.36,CA,1594358913
Haapiti,-17.57,-149.87,77.0,65,20,5.82,PF,1594358914
Caravelas,-17.71,-39.25,68.68,90,18,2.08,BR,1594358914
Sturgeon Bay,44.83,-87.38,71.6,100,90,8.05,US,1594358915
Airai,-8.93,125.41,70.3,71,24,5.44,TL,1594358915
Avarua,-21.21,-159.78,73.4,83,99,3.36,CK,1594358396
Port Blair,11.67,92.75,85.12,74,99,11.48,IN,1594358916
College,64.86,-147.8,57.2,82,75,4.7,US,1594358916
Longyearbyen,78.22,15.64,50.0,71,75,17.22,SJ,1594358761
Saldanha,-33.01,17.94,50.0,93,100,9.17,ZA,1594358435
Ostrovnoy,68.05,39.51,60.12,70,65,26.84,RU,1594358668
Kruisfontein,-34.0,24.73,48.83,94,51,3.11,ZA,1594358432
Ponta do Sol,32.67,-17.1,68.0,65,0,5.46,PT,1594358444
Deqing,30.54,119.96,88.0,75,91,6.38,CN,1594358919
Tabou,4.42,-7.35,75.49,85,97,8.19,CI,1594358919
Steamboat Springs,40.48,-106.83,62.6,26,1,11.41,US,1594358920
Cabo San Lucas,22.89,-109.91,82.99,76,57,9.89,MX,1594358920
Ozernovskiy,51.5,156.52,51.37,94,100,0.58,RU,1594358921
Vitim,59.45,112.56,64.72,84,100,1.95,RU,1594358921
Cidreira,-30.18,-50.21,47.68,81,0,6.98,BR,1594358678
Kerchevskiy,59.95,56.29,83.89,59,4,5.14,RU,1594358922
La Roda,39.22,-2.15,62.01,82,1,3.36,ES,1594358922
Nanortalik,60.14,-45.24,44.49,96,100,9.8,GL,1594358923
Ulladulla,-35.35,150.47,64.4,48,69,5.82,AU,1594358923
Makakilo City,21.35,-158.09,80.6,69,75,4.7,US,1594358923
Margate,51.38,1.39,57.99,91,100,10.0,GB,1594358924
Isiro,2.77,27.62,67.28,98,9,1.68,CD,1594358924
Port-Gentil,-0.72,8.78,75.2,83,90,11.41,GA,1594358925
Takoradze,4.88,-1.76,74.79,92,99,6.44,GH,1594358925
La Ronge,55.1,-105.28,55.4,87,40,6.98,CA,1594358898
Ust'-Kut,56.79,105.77,78.28,35,98,6.91,RU,1594358926
Amapá,1.0,-52.0,71.22,98,85,1.61,BR,1594358927
Butaritari,3.07,172.79,83.59,75,49,11.61,KI,1594358432
Pa Sang,18.53,98.94,91.99,55,40,4.7,TH,1594358928
Ambilobe,-13.2,49.05,75.97,47,0,12.59,MG,1594358929
Iqaluit,63.75,-68.51,44.6,87,75,2.24,CA,1594358799
Ribeira Grande,38.52,-28.7,67.91,74,32,5.84,PT,1594358679
Artyom,40.47,50.33,84.2,58,74,25.28,AZ,1594358930
Tinyahuarco,-10.75,-76.3,35.38,92,100,3.51,PE,1594358930
Katobu,-4.94,122.53,81.93,81,49,8.3,ID,1594358931
Presidencia Roque Sáenz Peña,-26.79,-60.44,47.7,88,0,7.65,AR,1594358932
Altamira,-3.2,-52.21,71.71,91,55,1.28,BR,1594358653
Alyangula,-13.85,136.42,84.2,51,75,10.29,AU,1594358933
Lebedyn,50.59,34.48,61.68,75,66,1.61,UA,1594358933
Nova Russas,-4.71,-40.56,71.69,85,86,3.51,BR,1594358933
Cabo Rojo,18.09,-67.15,81.0,89,78,8.46,PR,1594358684
Shaowu,27.34,117.48,75.9,91,100,2.33,CN,1594358934
Rome,43.21,-75.46,77.0,78,1,3.36,US,1594358816
Castro,-24.79,-50.01,44.35,61,95,2.28,BR,1594358471
Atlantis,-33.57,18.48,51.01,98,100,14.76,ZA,1594358935
Balclutha,-46.23,169.75,48.99,70,70,4.0,NZ,1594358936
Chumikan,54.72,135.31,54.28,79,100,10.63,RU,1594358936
Nikolskoye,59.7,30.79,61.0,62,42,6.71,RU,1594358716
Palmer,42.16,-72.33,71.6,94,1,4.7,US,1594358937
Yar-Sale,66.83,70.83,67.15,46,0,13.06,RU,1594358451
Senneterre,48.38,-77.23,75.2,69,1,4.7,CA,1594358938
Puerto Concordia,2.62,-72.76,72.19,96,98,2.24,CO,1594358938
Hasaki,35.73,140.83,84.2,74,75,12.75,JP,1594358437
Sioux Lookout,50.1,-91.92,64.4,77,5,5.82,CA,1594358939
Tarbagatay,51.48,107.36,66.2,72,75,13.42,RU,1594358939
Tautira,-17.73,-149.15,77.0,65,20,5.82,PF,1594358940
‘Āhuimanu,21.44,-157.84,80.6,74,90,11.41,US,1594358940
Luau,-10.71,22.22,54.79,49,5,3.58,AO,1594358940
Yonago,35.43,133.33,78.8,88,90,3.36,JP,1594358694
Vao,-22.67,167.48,67.68,70,2,21.16,NC,1594358828
Boysun,38.21,67.2,84.42,16,0,4.09,UZ,1594358942
Yangi Marg`ilon,40.43,71.72,86.0,25,87,4.7,UZ,1594358942
Sāveh,35.02,50.36,89.08,15,22,18.01,IR,1594358943
Dallas,32.77,-96.78,87.8,58,20,10.29,US,1594358866
Hervey Bay,-25.3,152.85,71.01,63,19,5.99,AU,1594358768
Saskylakh,71.92,114.08,64.45,47,46,13.6,RU,1594358455
Igarka,67.47,86.58,67.68,46,51,12.3,RU,1594358944
Klaksvík,62.23,-6.59,48.2,81,77,9.17,FO,1594358761
Brae,60.4,-1.35,50.0,93,86,8.05,GB,1594358945
Tadine,-21.55,167.88,68.83,72,69,19.46,NC,1594358946
Sanremo,43.82,7.76,72.0,94,5,4.7,IT,1594358946
Makkah al Mukarramah,21.43,39.83,92.68,17,0,10.36,SA,1594358946
Tuatapere,-46.13,167.68,47.75,80,95,7.65,NZ,1594358666
Requena,39.49,-1.1,77.0,81,0,2.15,ES,1594358947
Jalostotitlán,21.2,-102.47,62.6,88,90,3.36,MX,1594358948
Bodden Town,19.28,-81.25,84.99,76,100,5.01,KY,1594358948
Nizwá,22.93,57.53,94.19,32,89,5.73,OM,1594358948
Curanilahue,-37.47,-73.35,53.38,94,100,14.74,CL,1594358949
Plouzané,48.38,-4.62,57.2,93,40,6.93,FR,1594358949
Poum,-20.23,164.02,72.57,71,41,14.92,NC,1594358950
Tandil,-37.32,-59.13,46.99,62,100,5.99,AR,1594358940
Hofn,64.25,-15.21,51.1,64,56,8.25,IS,1594358950
Provideniya,64.38,-173.3,57.2,67,10,15.66,RU,1594358430
Iralaya,15.0,-83.23,77.27,88,100,3.15,HN,1594358951
Kupang,-10.17,123.58,89.6,46,40,19.46,ID,1594358952
San Cristobal,7.77,-72.22,64.35,83,62,4.32,VE,1594358952
Kisangani,0.52,25.2,71.42,95,38,2.44,CD,1594358953
Ipanguaçu,-5.5,-36.85,74.52,84,100,6.58,BR,1594358953
Yamada,39.47,141.95,74.07,77,100,3.24,JP,1594358953
Grindavik,63.84,-22.43,48.2,87,75,9.17,IS,1594358954
Chicama,-7.84,-79.15,63.54,76,90,6.38,PE,1594358438
Pine Bluff,34.23,-92.0,73.4,94,1,5.21,US,1594358955
Tasiilaq,65.61,-37.64,37.4,93,100,4.7,GL,1594358397
Porto Walter,-8.27,-72.74,68.92,99,84,2.82,BR,1594358956
La Asuncion,11.03,-63.86,80.6,88,0,11.41,VE,1594358731
Vardø,70.37,31.11,48.2,93,75,5.82,NO,1594358767
Tāybād,34.74,60.78,91.96,15,0,20.11,IR,1594358957
Kysyl-Syr,63.9,122.76,79.03,40,24,8.72,RU,1594358957
Chunoyar,57.45,97.32,63.77,74,99,6.91,RU,1594358958
Alofi,-19.06,-169.92,73.4,94,78,12.75,NU,1594358958
George Town,5.41,100.34,87.01,79,20,6.93,MY,1594358847
Midland,32.0,-102.08,89.6,38,1,13.87,US,1594358701
Tayshet,55.93,98.0,64.58,70,97,4.47,RU,1594358959
Marawi,8.0,124.29,84.99,83,87,7.0,PH,1594358960
Svolvær,68.23,14.57,55.0,76,20,2.24,NO,1594358960
São Paulo de Olivença,-3.38,-68.87,71.78,95,81,1.9,BR,1594358960
Lompoc,34.64,-120.46,55.4,87,90,4.7,US,1594358961
Sukhumi,43.0,41.02,76.78,75,97,3.98,GE,1594358961
